Gene_ID	Chrom	Start	End	Strand	Gene_Symbol	Description	gene_biotype	Protein_ID	old_locus_tag	locus_tag	761_1_FPKM	761_2_FPKM	761_3_FPKM	NO_1_FPKM	NO_2_FPKM	NO_3_FPKM	761/NO.fc	761/NO.baseMean	761/NO.lfcSE	761/NO.stat	761/NO.raw.pval	761/NO.bh.pval	NO.mean	761.mean	N_NO_1	N_NO_2	N_NO_3	N_761_1	N_761_2	N_761_3	NO_1_Read_Count	NO_2_Read_Count	NO_3_Read_Count	761_1_Read_Count	761_2_Read_Count	761_3_Read_Count
8893797	chrpEA29	16649	17269	-	.	ParA family protein	protein_coding	WP_009351662.1	EAMY_3732	EAMY_RS34510	221.651204	227.471863	317.888701	274.808281	245.825266	220.635267	1.1952793252179	1906.29497719306	0.211575267885455	1.2163416076724	0.223854817785335	0.3945263091937	10.7616408985408	11.0199256890298	10.94919142	10.75087059	10.72985575	10.79580953	10.82587924	11.18007655	2465	1673	1437	1736	1826	2251
8893800	chrpEA29	12594	13352	-	.	thiazole synthase	protein_coding	WP_009351653.1	EAMY_3725	EAMY_RS34475	3.551805	2.140405	4.390692	5.016784	5.289725	4.27117	-1.26105595515108	37.4811846355193	0.347263841954382	-0.963625495769025	0.335233719613674	0.515100100164952	5.37657245067527	5.06256417763128	5.31104238	5.26225544	5.20424969	5.1651977	5.00376805	5.30968552	55	44	34	34	21	38
8893801	chrpEA29	13356	13553	-	thiS	sulfur carrier protein ThiS	protein_coding	WP_009351654.1	EAMY_3726	EAMY_RS34480	0.400449	1.172127	0.442921	1.398619	2.765083	3.370875	-3.16969809170287	3.61535427419084	1.00591548098708	-1.65455792672709	0.0980142039024024	NA	2.4672696401754	0.766167922588047	1.83653336	1.88705689	1.92106678	1.78361274	1.82643574	1.79448483	4	6	7	1	3	1
8893802	chrpEA29	14982	15227	+	.	type II toxin-antitoxin system Phd/YefM family antitoxin	protein_coding	WP_009351656.1	EAMY_3728	EAMY_RS34490	37.710538	33.963087	46.344632	76.548783	64.541093	54.650453	-1.45156454270178	154.047937037282	0.23690517041396	-2.26929923385619	0.0232501351038364	0.0815836449395519	7.50715109101802	6.97930561881068	7.52365109	7.29660534	7.23997019	7.06949134	7.01966487	7.2755765	272	174	141	117	108	130
8893803	chrpEA29	13550	14482	-	.	FAD-dependent oxidoreductase	protein_coding	WP_033477759.1	EAMY_3727	EAMY_RS34485	6.883596	5.721185	5.45177	6.826698	9.975639	7.460209	-1.16441283863424	78.3041317127652	0.226318388471204	-0.970326154559593	0.331883944373439	0.511135124343331	6.39687531545236	6.17677081982995	6.28191662	6.41096237	6.28909922	6.29248537	6.20309058	6.24151219	92	102	73	81	69	58
8893804	chrpEA29	19180	19839	+	.	class I SAM-dependent methyltransferase	protein_coding	WP_009351670.1	EAMY_3736	EAMY_RS34525	400.889098	416.925484	539.477449	414.970133	406.467262	418.37371	1.26553662576167	3487.5656237766	0.181266300613872	1.87431011603831	0.0608876940304141	0.165031586371497	11.5879057409511	11.9280955226908	11.72311077	11.59429935	11.67285771	11.7054606	11.74616718	12.04380642	3956	2940	2896	3337	3557	4060
8893805	chrpEA29	20129	22159	-	.	choline transporter	protein_coding	WP_011167225.1	EAMY_3737	EAMY_RS34530	108.802536	109.774777	87.525585	110.681964	128.088303	108.961979	1.00767777877025	2655.31762395602	0.1085634910369	0.101639947794469	0.919042469871696	0.958273410205202	11.3692008363251	11.380115975097	11.3958343	11.38956183	11.32719701	11.39113345	11.40923574	11.32904646	3247	2851	2321	2787	2882	2027
8893806	chrpEA29	16311	16541	-	.	plasmid partition protein ParG	protein_coding	WP_009351660.1	EAMY_3731	EAMY_RS34505	196.677472	197.252187	263.47456	240.362593	253.992663	290.170401	-1.03091059770111	670.642522081515	0.192298258172784	-0.228391175304727	0.819342149266899	0.895936346235891	9.4103429900426	9.3681488097441	9.38742951	9.31567498	9.47100722	9.25196741	9.26435849	9.56603154	802	643	703	573	589	694
8893807	chrpEA29	5770	7158	+	.	aldehyde dehydrogenase family protein	protein_coding	WP_013036331.1	EAMY_3719	EAMY_RS34445	85.79633	84.377936	78.290783	73.966684	85.466758	71.321927	1.23631428464418	1342.85369383751	0.110504236856643	2.76953669349231	0.00561360807489874	0.0274435564618832	10.2294780256496	10.5364015250668	10.33379967	10.32667871	10.25296356	10.45315931	10.451807	10.48618849	1484	1301	1039	1503	1515	1240
8893809	chrpEA29	13	990	+	.	replication initiation protein	protein_coding	WP_009351627.1	EAMY_3712	EAMY_RS34425	175.359638	169.987142	178.983452	195.235999	233.250902	184.163206	-1.01320385035473	2228.19973612397	0.129057176773759	-0.146636282802297	0.883419113690747	0.935219342154449	11.1306915015781	11.112577332419	11.15104568	11.16901712	11.05077081	11.07851254	11.06648001	11.19599809	2758	2500	1889	2163	2149	1996
8911189	FN434113.1	32	472	-	mioC	FMN-binding protein MioC	protein_coding	WP_013034821.1	EAMY_0001	EAMY_RS17280	54.836942	47.188069	40.766786	35.793218	51.313929	54.051927	1.16666418458858	250.954686034212	0.177346534462275	1.25398194377052	0.2098485684657	0.378000511007842	7.85836235707822	8.07600338277709	7.7906904	7.92429725	8.01302895	8.08454621	7.98954915	7.9714598	228	248	250	305	269	205
8911190	FN434113.1	3510	4970	-	viaA	ATPase RavA stimulator ViaA	protein_coding	WP_004154711.1	EAMY_0004	EAMY_RS17295	3.961728	3.81242	2.641154	2.037618	2.74805	2.479951	1.65072815756679	52.2823216646454	0.265737783530154	2.72111307143357	0.00650625026879961	0.0309209776723209	5.30782667330414	6.02134009730246	5.52925629	5.59117204	5.58342015	5.85236287	5.83943229	5.70908678	43	44	38	73	72	44
8911192	FN434113.1	15308	21607	-	.	hypothetical protein	protein_coding	WP_004163706.1	EAMY_0009	EAMY_RS17315	6.267593	7.416772	5.735191	6.868216	7.024629	7.839692	1.02189473529862	519.928823387097	0.144531631760049	0.2161920714925	0.828838033452659	0.903642910118061	9.00698905027625	9.03719351370973	9.02881662	8.93531855	9.06991907	8.9712264	9.10395597	9.00413654	625	485	518	498	604	412
8911193	FN434113.1	21769	27714	-	.	hypothetical protein	protein_coding	WP_004154719.1	EAMY_0010	EAMY_RS17320	6.5874	6.219014	6.032393	5.670333	6.031007	4.586178	1.32369669635059	422.926942132253	0.152656087843779	2.65022244139976	0.00804387909493142	0.036908517062655	8.50596881457492	8.9138296515295	8.69470756	8.63015294	8.50096676	8.81103576	8.7797213	8.84496226	487	393	286	494	478	409
8911194	FN434113.1	27988	28389	+	.	YgiW/YdeI family stress tolerance OB fold protein	protein_coding	WP_004154720.1	EAMY_0011	EAMY_RS17325	1167.439172	1007.03182	947.010796	640.134155	840.977423	743.331785	1.61447501236874	4364.41115173244	0.112399430137368	6.14829729412498	7.83191347529168e-10	4.56449413419631e-08	11.7051344219601	12.3960628527048	11.83157799	11.91630418	11.88415133	12.2949318	12.18888667	12.23515315	3717	3705	3134	5919	5233	4341
8911197	FN434113.1	33153	33572	+	rbsD	D-ribose pyranase	protein_coding	WP_004154729.1	EAMY_0018	EAMY_RS17345	19.822206	22.655536	17.330855	27.362974	19.770346	20.20461	1.00218118610811	107.524691881842	0.23600181227723	0.0133192176362374	0.989373116091296	0.992924942944542	6.74506434546204	6.75197575094045	6.90852365	6.6200215	6.67616808	6.71399836	6.80287486	6.71500502	166	91	89	105	123	83
8911198	FN434113.1	54899	56272	+	hemN	oxygen-independent coproporphyrinogen III oxidase	protein_coding	WP_004154748.1	EAMY_0033	EAMY_RS17440	516.127539	398.738069	467.660464	404.808466	584.676285	459.805819	1.10495448869729	7805.24946294042	0.151732108467777	0.948955036611694	0.342643480980879	0.522857897941423	12.8563972511928	13.0004656098381	12.81905745	12.97986566	12.85728897	13.01127217	12.8269545	13.03951044	8034	8804	6626	8944	7082	7327
8911199	FN434113.1	68539	69927	-	.	uracil-xanthine permease family protein	protein_coding	WP_004154761.1	EAMY_0045	EAMY_RS17500	5.308755	5.012551	4.16709	5.831605	8.671493	6.31532	-1.24490920163316	96.9350865909424	0.211041091529794	-1.49753074065945	0.134255212965606	0.285163566158403	6.74936710625358	6.4309984110046	6.60401438	6.75266061	6.60606056	6.55648639	6.5328419	6.50074779	117	132	92	93	90	66
8911200	FN434113.1	70166	72247	-	recG	ATP-dependent DNA helicase RecG	protein_coding	WP_004154763.1	EAMY_0047	EAMY_RS17505	25.667948	25.266594	27.590005	28.430852	34.535653	31.049795	-1.0373059238253	719.586183150947	0.134985696657029	-0.391459539849191	0.695457589845946	0.81320313744042	9.51629055816422	9.46530637645344	9.48941089	9.51901288	9.49855154	9.42343448	9.42280212	9.57501294	855	788	678	674	680	655
8911201	FN434113.1	81685	82023	-	.	zinc ribbon domain-containing protein YjdM	protein_coding	WP_004154773.1	EAMY_0056	EAMY_RS17550	252.133781	199.220056	203.335892	196.258367	313.849203	239.353414	1.01099676734043	948.879182460872	0.160799306031294	0.098124703545267	0.921833271589647	0.960881747166868	9.88226204167032	9.89785700526985	9.77086817	10.00353759	9.85949378	9.9627203	9.80005946	9.90251291	961	1166	851	1078	873	786
8911203	FN434113.1	83448	84434	+	.	reverse transcriptase family protein	protein_coding	WP_004154776.1	EAMY_0059	EAMY_RS17555	2.731327	3.997344	6.130885	3.366887	4.714929	5.89281	1.07925160365986	53.6399566890711	0.358851500676582	0.306620527694433	0.759132226977552	0.851396778534581	5.68562345037621	5.80248309567344	5.58909137	5.67130246	5.82038956	5.51523604	5.67834123	5.96339113	48	51	61	34	51	69
8911204	FN434113.1	85215	86822	+	.	TIGR04141 family sporadically distributed protein	protein_coding	WP_004154777.1	EAMY_0060	EAMY_RS17565	7.396345	7.216452	11.998524	7.233154	5.731358	8.83507	1.41049548939183	159.943885231314	0.286031193213641	1.73478300313029	0.0827792478525262	0.205065370146228	7.0496928739504	7.54999305729452	7.21616701	6.99666705	7.29499989	7.23735924	7.23127593	7.66199733	168	101	149	150	150	220
8911207	FN434113.1	90287	91405	+	.	DNA cytosine methyltransferase	protein_coding	WP_004154781.1	EAMY_0063	EAMY_RS17600	591.513047	488.911978	596.646284	525.207524	497.336948	553.169452	1.22235576005138	7376.96076526611	0.155252011595236	1.86576799814717	0.0620738314657866	0.167649811487271	12.6966372795973	12.9864538349922	12.81828473	12.66404457	12.80036713	12.91801479	12.7838283	13.03145192	8489	6099	6492	8348	7072	7613
8911208	FN434113.1	97213	98397	-	.	nucleoside transporter	protein_coding	WP_004154788.1	EAMY_0070	EAMY_RS17630	63.765611	55.359991	52.915011	52.113591	52.977598	48.760038	1.27774885816285	780.695361365031	0.128161762810337	2.75904680418346	0.0057970231601467	0.0281545481549815	9.42039884837547	9.77508743785507	9.57485863	9.4763226	9.47362788	9.73411742	9.63846154	9.69433746	892	688	606	953	848	715
8911209	FN434113.1	112327	113283	+	.	polysaccharide deacetylase family protein	protein_coding	WP_004154809.1	EAMY_0088	EAMY_RS17715	57.16749	53.836994	42.52039	51.218377	78.757204	57.985688	-1.0621940640094	648.884947310358	0.154497296420059	-0.563423271420292	0.573146694340165	0.725607209831566	9.38526865845134	9.29701979602201	9.27729737	9.4815994	9.31230198	9.36503057	9.33199309	9.24946033	708	826	582	690	666	464
8911210	FN434113.1	135903	136754	-	.	PhzF family phenazine biosynthesis protein	protein_coding	WP_004154839.1	EAMY_0113	EAMY_RS17835	65.1434	72.366445	51.980803	81.907832	98.316241	92.661752	-1.25717688761785	780.702545604927	0.129108319526385	-2.55744676788613	0.0105443695079706	0.0448093958605664	9.7650775225641	9.43312824952767	9.66610036	9.68731903	9.70187304	9.50667597	9.59323917	9.44392822	1008	918	828	700	797	505
8911211	FN434113.1	137364	138926	-	mqo	malate dehydrogenase (quinone)	protein_coding	WP_004154841.1	EAMY_0115	EAMY_RS17840	58.18572	33.062523	46.233783	19.888034	22.009215	18.910912	2.59642834991602	641.256804745055	0.205888175411698	6.68580607477597	2.29656981002979e-11	1.96611161818785e-09	8.47738515845658	9.85503320121349	8.89275893	8.86032594	8.81677036	9.70111838	9.26377426	9.62031963	449	377	310	1147	668	824
8911212	FN434113.1	142382	143560	+	emrD	multidrug efflux MFS transporter EmrD	protein_coding	WP_004163733.1	EAMY_0123	EAMY_RS17870	39.274532	48.752122	29.753454	69.701385	66.017246	68.093875	-1.52402169919346	748.912848630257	0.170307499131344	-3.56932869857926	0.000357897149262579	0.00317782750586119	9.82137819606335	9.2120681676842	9.75383278	9.59263215	9.67590345	9.33837138	9.50151485	9.24474673	1187	853	842	584	743	400
8911213	FN434113.1	144825	145826	+	.	arsenic resistance protein	protein_coding	WP_004154855.1	EAMY_0126	EAMY_RS17880	10.445234	13.279424	10.415268	12.160444	14.661565	13.226863	-1.02044284792394	148.633837330986	0.180427215785332	-0.161812525324003	0.871453489252237	0.930558820731576	7.23033085146569	7.20075513464165	7.2119815	7.23276705	7.21728487	7.12571893	7.28522062	7.20645557	176	161	139	132	172	119
8911214	FN434113.1	145873	147387	-	glpK	glycerol kinase GlpK	protein_coding	WP_004154856.1	EAMY_0127	EAMY_RS17885	24.911868	26.042103	21.533841	40.762115	40.59471	41.600504	-1.4852292103497	586.010457937964	0.128938745034684	-4.42602100905399	9.59871796976195e-06	0.000154790976191986	9.45218236699254	8.8812654166326	9.37058435	9.24978329	9.32728441	9.01932012	9.05999327	9.01310315	892	674	661	476	510	372
8911215	FN434113.1	162385	163290	+	metF	methylenetetrahydrofolate reductase	protein_coding	WP_004154873.1	EAMY_0141	EAMY_RS17955	60.560558	59.343768	60.11109	83.521148	97.89494	70.089957	-1.21413646985651	778.308830668147	0.149458265228558	-1.87296828510773	0.0610727646047373	0.165214758971447	9.73649059603445	9.45854038969129	9.72518164	9.72841434	9.53847871	9.49587603	9.49203415	9.58772003	1093	972	666	692	695	621
8911216	FN434113.1	174682	175338	+	fabR	HTH-type transcriptional repressor FabR	protein_coding	WP_004154882.1	EAMY_0151	EAMY_RS18000	339.240309	378.323978	333.30695	388.202872	432.489349	422.025601	-1.02989966417666	3017.12006451285	0.108139517468248	-0.393045888302576	0.694285589170286	0.812118565923834	11.5799789242569	11.5376229930549	11.57896399	11.54392319	11.5849681	11.48609654	11.57900541	11.57392914	3684	3114	2908	2811	3213	2497
8911217	FN434113.1	219135	220325	-	hemY	protoheme IX biogenesis protein HemY	protein_coding	WP_004154926.1	EAMY_0184	EAMY_RS18215	214.299516	183.82018	167.812289	179.153528	177.668798	185.171283	1.19154906184494	2660.05769345012	0.122283285375435	2.06764444311395	0.0386734696781828	0.120293320478393	11.2453023072484	11.4981195797886	11.3550125	11.23571526	11.32325879	11.50054277	11.39396961	11.41595118	3082	2319	2313	3219	2830	2279
8911218	FN434113.1	226472	227296	+	dapF	diaminopimelate epimerase	protein_coding	WP_004154932.1	EAMY_0190	EAMY_RS18245	79.961577	61.888292	46.666128	65.203598	83.616123	68.650272	-1.00987213217037	666.576817501887	0.170304782112865	-0.0832192345561403	0.933677218823786	0.966143481229812	9.38844475800433	9.37276731825092	9.3626763	9.43210198	9.34531822	9.52263697	9.34365156	9.23065213	777	756	594	832	660	439
8911219	FN434113.1	239362	240693	-	glpT	glycerol-3-phosphate transporter	protein_coding	WP_004154946.1	EAMY_0203	EAMY_RS18305	43.870768	46.056133	34.434094	41.632528	50.28217	47.602218	1.02147219909466	702.399987669547	0.125106936210286	0.244989929528355	0.806464228872626	0.887698531582129	9.44167688221123	9.47047740262533	9.42534842	9.4504671	9.46795388	9.47161501	9.51867668	9.39416746	801	734	665	737	793	523
8911220	FN434113.1	241080	241550	-	.	DUF1456 family protein	protein_coding	WP_004154947.1	EAMY_0205	EAMY_RS18310	74.743604	72.104459	59.955104	74.082243	107.327505	89.072068	-1.13431893290322	446.119268507429	0.141804752330718	-1.28223019593067	0.199761906566688	0.36492695784814	8.89017975168008	8.70655243469025	8.76305282	8.92033023	8.84075082	8.7771993	8.76232527	8.71803564	504	554	440	444	439	322
8911222	FN434113.1	241654	242592	-	metR	HTH-type transcriptional regulator MetR	protein_coding	WP_004154950.1	EAMY_0207	EAMY_RS18315	11.061593	9.886309	8.685775	11.206822	19.046389	12.895788	-1.25684257706185	134.794487856018	0.208867384131132	-1.57901129936248	0.114333465320909	0.255424190851419	7.23089991643926	6.89932586517477	7.03513423	7.28147074	7.07522541	7.03418085	6.97610157	6.97282865	152	196	127	131	120	93
8911223	FN434113.1	274890	274965	+	.	tRNA-Thr	tRNA	.	EAMY_t12	EAMY_RS18455	13.562562	17.304292	21.924576	20.040732	39.620735	23.8369	-1.35311098300369	20.4656724903772	0.428321401914482	-1.01858131057947	0.308401780753699	0.487083788449187	4.55033082634682	4.1293326057432	4.31051254	4.49214535	4.33988508	4.21926196	4.27890143	4.38078205	22	33	19	13	17	19
8911224	FN434113.1	291514	293961	+	faeD	F4 (K88) fimbrial usher FaeD	protein_coding	WP_004154994.1	EAMY_0243	EAMY_RS18530	5.376611	6.383494	6.054336	8.003492	9.80317	9.659397	-1.33716764749689	219.94024745277	0.166186070062173	-2.52235554168986	0.0116571818956947	0.0481057866552768	7.97455228650095	7.55732193007414	7.82848167	7.86180675	7.90609531	7.5790791	7.69476777	7.73886159	283	263	248	166	202	169
8911225	FN434113.1	295451	296227	+	.	fimbrial protein	protein_coding	WP_013035767.1	EAMY_0246	EAMY_RS18545	24.694846	18.518697	23.589377	20.582373	19.494372	25.156059	1.17450626653904	207.571786988715	0.2025786122032	1.1455030138581	0.252000847686276	0.428427234398061	7.57596570321154	7.80952493498683	7.646476	7.5159954	7.72959765	7.77656901	7.59558332	7.83726349	231	166	205	242	186	209
8911226	FN434113.1	296462	297250	+	.	minor fimbrial subunit faeH precursor	protein_coding	WP_004155000.1	EAMY_0247	EAMY_RS18550	1.607885	1.960973	1.556117	1.403937	2.659947	2.054384	-1.02250138262173	17.6237832462564	0.427036551233378	-0.0751757522425414	0.940074876658472	0.96933046559842	4.15892733742743	4.11970965413771	4.065437	4.19907775	4.14430401	4.10259607	4.16046069	4.12940297	16	23	17	16	20	14
8911227	FN434113.1	297275	298036	+	.	minor fimbrial subunit faeI precursor	protein_coding	WP_004155001.1	EAMY_0248	EAMY_RS18555	1.040536	1.928933	1.726345	2.089668	1.436972	2.377434	-1.10421983196685	16.2915498491934	0.470936907122343	-0.303708236386728	0.761350182507604	0.853596120921452	4.09237470767393	3.9565327068732	4.06509291	3.93332627	4.07755917	3.904979	4.04742208	4.04737947	23	12	19	10	19	15
8911228	FN434113.1	298180	299121	-	.	omptin family outer membrane protease	protein_coding	WP_004161755.1	EAMY_0249	EAMY_RS18560	11.278877	14.864359	17.781716	19.769964	20.148124	22.67289	-1.23370976654919	200.915174147496	0.223600446038709	-1.35510926739065	0.175382746492224	0.339720981835083	7.79165967646349	7.49388796270025	7.72103682	7.62903757	7.76243819	7.37584185	7.54901798	7.74644882	269	208	224	134	181	191
8911229	FN434113.1	299897	300541	-	thiE	thiamine phosphate synthase	protein_coding	WP_004155006.1	EAMY_0251	EAMY_RS18565	7.621561	5.75705	4.48689	3.86409	6.507592	7.686938	1.1480064422441	46.2177445857104	0.316207671398645	0.62974670126618	0.528860322191052	0.690179884482144	5.4361408092846	5.6188294841191	5.34472222	5.49424997	5.60899815	5.65092541	5.5202169	5.46574916	36	46	52	62	48	33
8911230	FN434113.1	304348	305415	+	hemE	uroporphyrinogen decarboxylase	protein_coding	WP_013035768.1	EAMY_0256	EAMY_RS18585	96.215651	91.630021	75.299012	99.180129	125.081189	114.542107	-1.12186118308977	1278.61081021212	0.112081977231114	-1.48011459847455	0.138842666295539	0.292081273997205	10.4013946312707	10.2345045861442	10.32423245	10.38280584	10.37564483	10.30977295	10.2846434	10.2293422	1530	1464	1283	1296	1265	917
8911232	FN434113.1	324333	324629	-	fis	DNA-binding transcriptional regulator Fis	protein_coding	WP_000462905.1	EAMY_0270	EAMY_RS18675	290.458721	262.035446	236.224389	301.402304	268.827555	300.489405	1.03133855025839	990.453351397395	0.140658939751661	0.316496014362299	0.751626049895332	0.846120548204775	9.92943582993769	9.97410879614659	10.02063141	9.82343018	9.96140986	10.00083324	9.9351598	9.94723688	1293	875	936	1088	1006	800
8911233	FN434113.1	325927	326808	-	prmA	50S ribosomal protein L11 methyltransferase	protein_coding	WP_004155031.1	EAMY_0273	EAMY_RS18685	46.476555	47.538909	47.726968	50.079108	48.417175	52.970889	1.07206722396774	521.137328968585	0.143323932602335	0.70047877553732	0.483628355466221	0.651241749841421	8.97360648304152	9.07562976999482	9.04514512	8.91184002	9.03091947	8.99916429	9.02608486	9.11651608	638	468	490	517	542	480
8911234	FN434113.1	352114	352584	-	argR	transcriptional regulator ArgR	protein_coding	WP_004155060.1	EAMY_0297	EAMY_RS18800	145.110331	146.344131	104.269746	135.964434	165.834557	157.698047	-1.01479990370625	803.194174839899	0.134125996899587	-0.158025200989927	0.874436940695936	0.931349636739949	9.66115701259087	9.63795973232722	9.62524775	9.65780956	9.67877026	9.68134333	9.69878012	9.53998021	925	856	779	862	891	560
8911235	FN434113.1	374658	375140	-	ptsN	PTS IIA-like nitrogen regulatory protein PtsN	protein_coding	WP_004155083.1	EAMY_0314	EAMY_RS18880	268.235896	262.51271	242.940645	272.053032	309.448901	302.62499	1.00460476349475	1604.12029903241	0.101472267942084	0.0653185450876267	0.947920377029846	0.972811706052872	10.644187345566	10.65093800483	10.64413902	10.62510217	10.6673272	10.64176779	10.63677547	10.66867626	1898	1638	1533	1634	1639	1338
8911236	FN434113.1	398586	399422	+	folP	dihydropteroate synthase	protein_coding	WP_004155122.1	EAMY_0343	EAMY_RS19020	16.009332	11.922924	13.516226	14.06138	17.44282	15.150813	1.02162465007603	147.708347731687	0.186185544142048	0.165776782017731	0.86833261854275	0.928718917836129	7.18990990070773	7.22311415499213	7.18411565	7.22288879	7.18383892	7.27426754	7.10001448	7.25093731	170	160	133	169	129	129
8911237	FN434113.1	401070	401402	+	secG	preprotein translocase subunit SecG	protein_coding	WP_004155125.1	EAMY_0346	EAMY_RS19030	2178.418762	1963.977563	1868.790297	1753.659797	2054.85555	1714.25249	1.24988460591307	7746.77005296145	0.105315085671806	3.0555442641981	0.0022465243944017	0.0129790505012216	12.7494536318912	13.0713827495077	12.84958611	12.85273672	12.7770495	13.02425316	12.95518219	13.00979456	8435	7499	5987	9149	8454	7096
8911238	FN434113.1	416490	416888	+	.	DUF350 domain-containing protein	protein_coding	WP_004155140.1	EAMY_0359	EAMY_RS19105	91.013236	111.29035	80.445061	121.285469	129.210477	129.758763	-1.17620528251994	526.681412642224	0.143100902538788	-1.6361872695405	0.101800399950464	0.236324897718688	9.15365809127459	8.91832945170964	9.11885668	9.05176224	9.11241007	8.92082975	9.07423903	8.92950998	699	565	543	458	574	366
